id	name	size	proof	abv	spirit_type	brand_id	popularity	image_url	avg_msrp	fair_price	shelf_price	total_score	wishlist_count
16680	Evan Williams 12 Year Red Label	750	101	50.5	Bourbon	167	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recbnDaUrG1E7T9dv	130	156.12	165.74	1191	167
542	Green Spot	750	80	40	Irish Whiskey	379	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/reccus14j5NT2NOJo	66.19	75.21	69.16	1183	154
16791	Colonel E.H. Taylor Warehouse C	750	100	50	Bourbon	210	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/reci2Qk7XnAAISXEn	73.97	475.05	1645.42	1180	528
21257	Colonel E.H. Taylor Barrel Proof Batch 12	750	131	65.5	Bourbon	210		https://d1w35me0y6a2bb.cloudfront.net/newproducts/reco7ru8UDSRRniTV	78.97	240.29	481.32	1172	151
3040	Suntory Toki Japanese Whiskey	750	86	43	Japanese Whisky	855	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec6CyrfOjeRCCjh7	35.36	53.67	38.56	1169	145
48189	Larceny Barrel Proof C924	750	125.1	62.55	Bourbon	587	100087	https://d1w35me0y6a2bb.cloudfront.net/newproducts/2bd3184e-9757-403d-b515-6aacc2415f6b	64.99	92.46	67.33	1169	130
4838	Jack Daniel's Single Barrel Rye	750	94	47	Rye	231	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recC2vm9OapaIW0Vv	48.86	63.18	61.9	1168	111
20014	Woodford Reserve Master’s Collection Batch Proof 124.7	750	124	62	Bourbon	2004	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recucTJkKds9vnviV	139.97	161.8	156.07	1154	55
2697	Johnny Drum Private Stock 15 Year	750		50.5	Bourbon	7042	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/06ece279-81b4-4fa7-8cda-5a63f24e9674	42.03	48.01	44.83	1151	88
4414	Redbreast 12 Year Cask Strength	750	115.4	57.7	Irish Whiskey	646	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recx6WTKC748T95Nu	83.17	108.44	94.09	1135	204
17214	Horse Soldier Small Batch	750	95	47.5	Bourbon	3188	800	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recwf0EIFxx1adL7a	71.73	76.79	74.56	1132	161
1142	Buffalo Trace Kosher Rye 7 Year	750		47	Rye	245	1700	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recJIm3XkCpC08XeD	39.99	60.59	71.99	1131	276
21036	Bardstown Discovery Series No. 11	750	118.1	59.05	Bourbon	778		https://d1w35me0y6a2bb.cloudfront.net/newproducts/recI0dXleLt0w7Q5M	139.97	166.47	142.49	1130	152
4083	Laphroaig 10 Year	750	86	43	Scotch	284	1980	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rect6jGEt4c3Cke5o	54.82	72.25	64.47	1129	206
25363	Woodford Reserve Derby 150 2024 Release	1000		45.2	Bourbon	2004	100035	https://d1w35me0y6a2bb.cloudfront.net/newproducts/2e694775-8458-4715-8167-da45ce83030b	54.99	92.12	67.59	1128	46
3142	Old Forester Rye	750	100	50	Rye	152	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec7jK3LI6PCFMrsx	24.85	26.75	26.41	1125	130
18228	Larceny Barrel Proof Batch B522	750		61.9	Bourbon	587	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recUAXjihMfFYC3qo	59.99	70.21	69.99	1120	54
